@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
52,'2018/07/12 22:23:58:734',2,404.024628,418.457642,58.313793,399.889435,421.848755,55.562412,388.041199,427.37912,55.15015,351.494751,400.514343,51.469898,324.081116,394.502014,52.763481,0
53,'2018/07/12 22:23:58:790',2,401.255402,418.802551,58.191677,397.315369,422.073792,55.464527,385.677979,427.665771,55.080914,348.968079,400.777649,51.55661,321.317505,394.701111,52.776272,0
54,'2018/07/12 22:23:58:848',2,397.88266,418.788666,58.415035,393.19455,421.887451,55.668903,381.475372,427.420258,55.273895,345.370972,400.217651,51.935947,317.882233,393.952026,53.127186,0
55,'2018/07/12 22:23:58:904',2,396.049042,418.003998,58.856384,390.411285,421.21405,56.049908,378.543365,426.664063,55.650669,342.971191,399.088501,52.40617,315.806702,392.646973,53.625355,0
56,'2018/07/12 22:23:58:963',2,396.742828,416.742157,59.254227,389.762024,420.748627,56.314388,377.748444,426.05603,55.849178,342.354065,398.230713,52.63504,315.401825,391.740173,53.870594,0
57,'2018/07/12 22:23:59:019',2,398.254242,416.03595,59.388432,390.399658,420.782562,56.458794,378.237976,425.93634,55.928699,342.737732,398.053741,52.684856,315.874847,391.57666,53.918793,0
58,'2018/07/12 22:23:59:072',2,399.940308,416.169922,59.361565,391.716644,421.112762,56.416985,379.619781,426.313507,55.908592,343.9104,398.446777,52.649197,317.074036,392.029968,53.889725,0
59,'2018/07/12 22:23:59:128',2,402.576874,417.51828,59.20895,393.960205,422.52063,56.252567,381.933594,427.793732,55.731567,345.941376,399.855835,52.546345,319.169952,393.467834,53.805698,0
60,'2018/07/12 22:23:59:188',2,404.684052,419.588257,59.057453,395.72345,424.401672,56.098763,383.856415,429.684296,55.572227,347.389679,401.709412,52.441334,320.695496,395.434204,53.716263,0
61,'2018/07/12 22:23:59:243',2,405.444885,421.507751,58.915699,396.328735,425.86142,55.958664,384.664856,431.187042,55.418896,347.894928,403.06842,52.369808,321.284027,396.875244,53.660675,0
62,'2018/07/12 22:23:59:299',2,405.633759,422.914001,58.828804,396.630096,426.767883,55.892338,385.162689,432.133728,55.356487,348.122467,403.906677,52.343323,321.580688,397.794037,53.646355,0
63,'2018/07/12 22:23:59:355',2,405.351563,423.226898,58.880054,396.514954,426.897583,55.963425,385.146057,432.284668,55.433289,347.984985,404.008728,52.404396,321.454468,397.943909,53.706818,0
64,'2018/07/12 22:23:59:409',2,403.590973,421.72348,59.451893,395.316589,425.492401,56.558487,384.056854,430.897949,56.008541,346.957092,402.82193,52.827499,320.264587,396.757996,54.063454,0
65,'2018/07/12 22:23:59:467',2,402.310791,420.045471,59.818314,394.255859,423.926239,56.941635,383.036652,429.3367,56.378983,345.999695,401.487061,53.091011,319.226013,395.363068,54.268112,0
66,'2018/07/12 22:23:59:524',2,403.231323,418.970154,59.964184,394.964294,422.86969,57.087795,383.683655,428.239319,56.511753,346.855469,400.69104,53.235603,320.149689,394.358215,54.363453,0
67,'2018/07/12 22:23:59:581',2,406.412201,418.491669,59.838528,397.901215,422.384918,56.968075,386.571503,427.734009,56.412754,349.685516,400.499725,53.201862,323.062439,394.000305,54.318153,0
68,'2018/07/12 22:23:59:638',2,409.654755,419.282349,59.490662,401.213409,422.910522,56.653091,389.816315,428.21347,56.113159,352.77124,400.966003,53.021233,326.26532,394.487427,54.19025,0
69,'2018/07/12 22:23:59:693',2,411.392487,420.478607,59.271008,403.237823,423.85907,56.478725,391.846619,429.187012,55.946106,354.435577,402.002563,52.857956,327.913055,395.635315,54.051559,0
70,'2018/07/12 22:23:59:750',2,411.298431,422.610962,59.043964,403.822723,425.67865,56.301151,392.574158,431.097809,55.791248,354.678833,404.009125,52.731556,328.043732,397.803009,53.941582,0
71,'2018/07/12 22:23:59:804',2,409.828766,423.839508,58.952553,402.89856,426.800659,56.263348,391.661224,432.22879,55.763729,353.736938,405.150543,52.693993,327.036621,398.981415,53.898735,0
72,'2018/07/12 22:24:02:233',3,415.864746,418.697662,59.136124,392.351318,415.250214,54.601482,379.159943,418.324677,53.390697,349.432098,411.399414,52.997566,323.312958,403.273621,54.335258,0
73,'2018/07/12 22:24:02:289',3,424.282166,417.580048,59.373276,400.048492,413.103516,54.902298,386.505859,416.153656,53.784096,356.932556,409.089539,53.324944,331.687073,401.117554,54.869656,0
74,'2018/07/12 22:24:02:346',3,427.559143,415.627838,59.104904,405.195129,411.981689,54.53294,392.040497,415.283539,53.32338,362.33548,408.576385,52.532974,336.4086,400.865021,53.923191,0
75,'2018/07/12 22:24:02:405',3,430.384491,413.641571,59.119675,409.445648,410.209961,54.387108,395.989227,412.475098,52.782528,366.660522,407.527588,52.217232,340.364258,400.138672,53.530575,0
76,'2018/07/12 22:24:02:463',3,429.69989,412.656158,59.288807,409.714813,408.904846,54.34494,396.123352,410.631042,52.497967,367.069397,406.464966,51.951824,340.798462,399.500519,53.376648,0
77,'2018/07/12 22:24:02:520',3,426.618073,411.765015,59.407776,407.146759,407.658051,54.331741,393.593018,409.309845,52.39901,364.768311,405.345459,51.753891,338.537384,398.674835,53.219193,0
78,'2018/07/12 22:24:02:571',3,422.497864,411.424774,59.451332,403.573181,406.931244,54.261116,390.019928,408.509583,52.277992,361.498993,404.733276,51.629921,335.304871,398.024719,53.050556,0
79,'2018/07/12 22:24:02:627',3,418.750732,411.822479,59.403538,400.194397,406.828156,54.118023,386.599426,408.364166,52.124477,358.326843,404.495789,51.445034,332.379211,397.724365,52.869591,0
80,'2018/07/12 22:24:02:685',3,416.439514,412.204437,59.31686,398.10318,406.957428,53.978916,384.458923,408.543823,51.997643,356.396484,404.730682,51.361015,330.521088,397.792908,52.718586,0
81,'2018/07/12 22:24:02:742',3,414.183533,412.544983,59.090042,396.098907,407.191132,53.747318,382.421631,408.728088,51.776493,354.554382,404.815552,51.059948,328.608917,397.981476,52.414833,0
82,'2018/07/12 22:24:02:797',3,413.154663,412.753937,58.996162,395.345306,407.262177,53.642372,381.714142,408.7883,51.661095,353.882568,404.860779,50.901218,327.850677,398.253601,52.278839,0
83,'2018/07/12 22:24:02:852',3,411.632874,412.87738,58.94965,394.210327,407.191376,53.572357,380.62561,408.664093,51.563141,352.82489,404.830048,50.783989,326.663971,398.428802,52.164818,0
84,'2018/07/12 22:24:02:907',3,410.099792,412.877655,59.007992,392.850677,406.951294,53.609154,379.211761,408.328278,51.572098,351.456635,404.712891,50.80183,325.179443,398.554871,52.200855,0
85,'2018/07/12 22:24:02:964',3,408.830627,412.869446,59.167461,391.729156,406.656616,53.752827,377.965759,407.863129,51.687653,350.32135,404.425232,50.941036,323.954163,398.374207,52.337536,0
86,'2018/07/12 22:24:03:020',3,408.129517,412.628906,59.39064,391.142883,406.146973,53.944977,377.424988,407.16684,51.854504,349.652954,403.801483,51.132778,323.151398,397.779022,52.510323,0
87,'2018/07/12 22:24:03:076',3,409.042603,412.254669,59.48708,391.887329,405.43927,54.007397,378.21933,406.407562,51.924072,350.30481,403.033325,51.219341,323.739807,397.08374,52.604145,0
88,'2018/07/12 22:24:03:133',3,413.07489,412.285309,59.313316,395.804413,405.081909,53.774017,381.923004,406.126343,51.75536,353.759583,402.558502,51.079315,327.416565,396.702576,52.539185,0
89,'2018/07/12 22:24:03:190',3,414.392273,412.921326,59.179207,397.754608,405.277832,53.549324,383.81311,406.374359,51.581493,355.444733,402.748627,50.895412,329.176483,397.05249,52.400471,0
90,'2018/07/12 22:24:03:245',3,412.053955,414.169067,59.018108,396.530762,406.125977,53.306095,382.79126,407.313477,51.355282,354.236053,403.791138,50.620483,327.762085,398.266754,52.106129,0
91,'2018/07/12 22:24:03:296',3,406.636841,415.105713,59.026592,392.190033,406.86676,53.288616,378.811859,407.989319,51.311916,350.141998,404.707275,50.524723,323.305359,399.418182,51.966995,0
92,'2018/07/12 22:24:03:351',3,400.717621,415.577393,59.224407,386.960693,407.100403,53.433411,373.845825,408.043213,51.419552,345.229675,404.885162,50.658401,318.092896,399.670227,52.030315,0
93,'2018/07/12 22:24:03:406',3,398.12442,414.982666,59.499702,384.198853,406.608215,53.589565,371.052704,407.310791,51.569138,342.527557,404.154663,50.859661,315.180237,398.886688,52.149864,0
94,'2018/07/12 22:24:03:463',3,397.574188,413.32428,59.927803,383.873932,404.696045,53.86348,370.38678,405.102478,51.839581,342.056244,402.020782,51.181358,314.666992,396.738373,52.419209,0
95,'2018/07/12 22:24:03:515',3,401.996887,411.135712,60.359066,387.315308,402.33432,54.09026,373.349457,402.717865,52.09206,345.101044,399.242676,51.441662,317.904846,394.09433,52.763298,0
96,'2018/07/12 22:24:03:572',3,411.029999,409.400391,60.401825,394.550476,400.519531,54.025776,380.054779,400.867004,52.089046,351.744354,396.929596,51.469498,324.889282,391.749939,52.909874,0
97,'2018/07/12 22:24:03:626',3,416.678711,408.275421,60.296288,399.262268,399.544067,53.865658,384.534912,399.933533,51.947815,356.345703,395.804016,51.332165,329.444427,390.596436,52.81546,0
98,'2018/07/12 22:24:03:680',3,420.114838,407.767212,60.163345,402.490784,398.952057,53.708817,387.641602,399.454224,51.803013,359.498383,395.390015,51.188259,332.426453,390.270142,52.683212,0
99,'2018/07/12 22:24:03:735',3,421.300537,408.441071,60.002991,404.217316,398.962524,53.562294,389.283325,399.596893,51.665337,361.135498,395.723694,51.045734,333.845764,390.799255,52.539696,0
100,'2018/07/12 22:24:03:791',3,419.827911,411.067474,59.716866,403.760834,400.607117,53.345181,388.932587,401.338501,51.435436,360.834412,397.771027,50.781475,333.060486,393.27298,52.254887,0
101,'2018/07/12 22:24:03:848',3,415.719971,413.229614,59.66003,400.300354,402.317139,53.293346,385.620575,403.173584,51.402805,357.610077,399.749481,50.668232,329.440369,395.507721,52.099678,0
102,'2018/07/12 22:24:03:907',3,410.128418,414.552124,59.737816,395.228333,403.431641,53.361088,380.696075,404.274414,51.433861,352.817749,400.958069,50.676147,324.37027,396.839264,52.064747,0
103,'2018/07/12 22:24:03:963',3,406.096161,414.962341,59.958401,391.18869,403.732849,53.538181,376.72879,404.440308,51.591663,348.992371,401.124146,50.844036,320.429565,396.955688,52.202301,0
104,'2018/07/12 22:24:04:019',3,405.508514,413.56665,60.374977,388.963501,402.823761,53.774498,374.46106,403.386475,51.815014,346.843933,400.021942,51.090523,318.349487,395.613831,52.440838,0
105,'2018/07/12 22:24:04:077',3,405.969391,410.681519,60.812523,388.410522,400.305969,54.093605,373.8013,400.767944,52.142056,346.345612,397.142944,51.427074,317.961609,392.468262,52.803051,0
106,'2018/07/12 22:24:04:133',3,408.963593,408.464691,61.039604,390.911133,398.412994,54.25518,376.184692,398.889343,52.322098,348.792297,395.113586,51.601479,320.438141,390.36142,53.014687,0
107,'2018/07/12 22:24:04:186',3,412.315216,407.111542,61.109364,393.852783,397.274811,54.271015,379.052063,397.755676,52.34874,351.677643,393.905151,51.630714,323.354004,389.040344,53.055771,0
108,'2018/07/12 22:24:25:100',4,395.776947,398.378204,51.906609,441.799438,359.607483,66.598022,370.409668,397.404846,41.913036,344.043732,391.347778,41.221329,321.92041,382.545624,42.619843,0.1
109,'2018/07/12 22:24:25:153',4,394.095337,399.820007,51.893639,439.818359,360.988953,66.645782,368.7565,397.924164,41.801582,342.573456,392.213135,41.205521,320.098145,383.457031,42.590664,0.1
110,'2018/07/12 22:24:25:207',4,392.327576,400.505676,51.936218,437.380157,361.632599,66.713371,367.038483,398.273895,41.788097,340.936005,392.718994,41.217514,318.022278,383.989899,42.571255,0.1
111,'2018/07/12 22:24:25:264',4,391.613159,401.01709,51.966022,436.136841,362.199463,66.767227,366.368164,398.567474,41.799656,340.298615,393.06778,41.228172,317.06189,384.463562,42.593994,0.1
112,'2018/07/12 22:24:25:320',4,392.399414,402.254761,52.013908,437.63031,363.960571,66.84639,366.700348,399.337952,41.840549,340.73584,393.841431,41.31134,317.342712,385.235718,42.690289,0.1
113,'2018/07/12 22:24:25:377',4,392.88797,402.639709,52.023151,438.54303,364.447449,66.862656,367.03183,399.557068,41.84539,341.137512,394.034302,41.330208,317.675842,385.374298,42.703865,0.1
114,'2018/07/12 22:24:25:434',4,392.024078,401.790771,52.007698,437.195679,362.987,66.82505,366.326874,398.868622,41.807045,340.478241,393.365997,41.279594,316.802216,384.693237,42.634903,0.1
115,'2018/07/12 22:24:25:489',4,387.973969,400.258636,51.968067,431.416901,360.641876,66.73967,362.956848,397.72934,41.709618,337.111176,392.368195,41.145336,313.087006,383.785522,42.465668,0.1
116,'2018/07/12 22:24:25:547',4,381.893738,399.907562,52.130726,424.399628,359.763977,66.82206,357.799011,397.920502,41.838863,332.054382,392.44223,41.188015,307.869446,383.742249,42.451786,0.1
117,'2018/07/12 22:24:25:600',4,377.005096,400.511963,52.390434,419.908264,360.641052,67.021561,353.368683,399.185211,42.105896,327.829865,393.303955,41.363457,303.795929,384.241486,42.577724,0.1
118,'2018/07/12 22:24:25:655',4,374.571777,401.108185,52.581844,417.634949,361.9711,67.208298,350.858337,400.69165,42.393593,325.47998,394.120178,41.494987,301.666016,384.841797,42.702026,0.1
119,'2018/07/12 22:24:25:710',4,376.213318,402.030121,52.816738,419.389313,363.750549,67.516792,351.94931,401.915253,42.719364,326.528748,395.023804,41.768661,302.742493,385.790527,43.014587,0.1
120,'2018/07/12 22:24:25:766',4,382.003479,402.695251,52.807514,425.084839,365.080627,67.606232,356.886993,402.301727,42.772907,331.140808,395.456726,41.853905,307.166656,386.548981,43.168999,0.1
121,'2018/07/12 22:24:25:820',4,388.319519,403.044922,52.71529,431.938599,365.418335,67.473709,362.338531,402.102905,42.609062,336.577637,395.755066,41.801945,312.586639,387.015167,43.175289,0.1
122,'2018/07/12 22:24:25:873',4,391.703461,402.592621,52.518246,435.119598,364.44519,67.21492,365.117371,401.087189,42.274071,339.557343,395.243896,41.577747,315.34552,386.800781,42.99921,0.1
123,'2018/07/12 22:24:25:929',4,390.575287,401.633728,52.512589,433.158234,362.890564,67.156273,364.036224,399.761932,42.120331,338.721954,394.240204,41.461639,314.288269,386.087219,42.920002,0.1
124,'2018/07/12 22:24:25:987',4,383.375702,398.963501,52.911636,423.340729,359.282684,67.492889,358.199463,397.463623,42.38797,333.039307,392.12912,41.662155,308.168488,384.244751,43.091465,0.1
125,'2018/07/12 22:24:26:043',4,378.732574,397.455658,53.289196,416.80658,357.71109,67.893478,354.470184,395.972168,42.676586,329.401917,390.726166,41.917198,304.208191,383.06488,43.339569,0.1
126,'2018/07/12 22:24:26:101',4,378.352264,397.191681,53.363663,416.124481,357.820068,67.966583,354.105103,395.531067,42.721611,329.077972,390.327087,41.976227,303.765015,382.765106,43.412407,0.1
