@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
153,'2018/07/04 21:42:04:105',6,63,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
154,'2018/07/04 21:42:04:108',6,61,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
155,'2018/07/04 21:42:04:136',6,61,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
156,'2018/07/04 21:42:04:139',6,60,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
157,'2018/07/04 21:42:04:143',6,60,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
158,'2018/07/04 21:42:04:151',6,60,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
159,'2018/07/04 21:42:04:153',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
160,'2018/07/04 21:42:04:208',6,59,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
161,'2018/07/04 21:42:04:209',6,58,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
162,'2018/07/04 21:42:04:223',6,58,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
163,'2018/07/04 21:42:04:313',6,58,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
164,'2018/07/04 21:42:04:324',6,58,75,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
165,'2018/07/04 21:42:04:347',6,58,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
166,'2018/07/04 21:42:04:365',6,59,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
167,'2018/07/04 21:42:04:367',6,59,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
168,'2018/07/04 21:42:04:373',6,59,78,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
169,'2018/07/04 21:42:04:375',6,60,78,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
170,'2018/07/04 21:42:04:412',6,60,79,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
171,'2018/07/04 21:42:04:419',6,60,79,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
172,'2018/07/04 21:42:04:512',6,60,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
173,'2018/07/04 21:42:04:520',6,60,77,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
174,'2018/07/04 21:42:04:535',6,60,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
175,'2018/07/04 21:42:04:535',6,59,76,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
176,'2018/07/04 21:42:04:540',6,59,75,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
177,'2018/07/04 21:42:04:541',6,58,75,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
178,'2018/07/04 21:42:04:577',6,58,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
179,'2018/07/04 21:42:04:578',6,57,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
180,'2018/07/04 21:42:04:584',6,57,74,34,1.059998,917.702393,0.130001,5,0.06,293.664764,0.49,0.17,1
