@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
55,'2018/07/12 22:06:14:624',2,362.693054,406.94754,56.438435,415.506927,360.439453,73.534134,360.82901,396.923004,47.311878,335.490082,389.494446,46.57011,312.28598,380.081055,47.818157,1
56,'2018/07/12 22:06:14:678',2,365.300323,410.621704,56.358578,418.010864,364.324707,73.507675,362.443115,400.083252,47.250137,337.023438,392.857117,46.568802,313.612579,383.659943,47.840298,1
57,'2018/07/12 22:06:14:735',2,369.537994,412.409302,56.294449,418.867676,367.007446,73.435242,363.416931,401.62207,47.216587,337.7771,394.512543,46.542633,314.012115,385.626373,47.834042,1
58,'2018/07/12 22:06:14:788',2,372.386963,413.663727,56.286915,419.320526,369.108093,73.314499,363.822968,403.135864,47.14661,338.089325,396.085175,46.48254,314.068756,387.386658,47.783142,1
59,'2018/07/12 22:06:14:844',2,374.41452,414.365906,56.31752,419.043671,371.001526,73.244087,363.775543,404.116364,47.09549,338.034485,397.075623,46.436924,313.776306,388.450592,47.737793,1
60,'2018/07/12 22:06:14:901',2,375.100189,413.982758,56.355484,418.504272,371.432465,73.244766,363.366394,404.04776,47.060574,337.657715,397.008331,46.40974,313.247955,388.385193,47.710911,1
61,'2018/07/12 22:06:14:954',2,374.271393,411.632965,56.442322,417.164978,369.277283,73.218155,362.230621,402.507202,47.07259,336.588409,395.454407,46.407196,312.146118,386.754669,47.685402,1
62,'2018/07/12 22:06:15:010',2,368.821686,410.325684,56.519093,416.000366,367.319977,73.2668,360.487061,401.26593,47.140152,335.219116,394.228363,46.497631,310.980713,385.19751,47.733967,1
63,'2018/07/12 22:06:15:067',2,362.671783,408.031097,56.674778,415.38504,363.447449,73.319527,358.997986,399.405334,47.339001,334.076019,392.030304,46.630329,310.118317,382.643402,47.809181,1
64,'2018/07/12 22:06:15:120',2,359.937775,406.980499,56.824867,415.42514,361.433838,73.332352,359.161194,399.153961,47.522877,334.367584,391.528442,46.731632,310.35791,381.954834,47.863728,1
65,'2018/07/12 22:06:15:176',2,358.821899,406.602661,56.852036,414.965424,361.147095,73.35627,359.305511,399.293427,47.619671,334.60675,391.263153,46.739681,310.488708,381.568359,47.857471,1
66,'2018/07/12 22:06:15:230',2,359.67572,406.70755,56.832638,414.601257,360.938171,73.329369,359.254791,398.477203,47.43528,334.695953,391.037384,46.684963,310.466919,381.387573,47.804222,1
67,'2018/07/12 22:06:15:284',2,362.646271,408.424683,56.713097,415.163208,362.167175,73.32019,360.082458,399.013916,47.376305,335.47522,391.591309,46.623714,311.091919,382.103882,47.762177,1
68,'2018/07/12 22:06:15:338',2,366.58902,411.647888,56.568329,415.531982,365.013947,73.346222,360.50943,400.515625,47.295502,335.797516,393.256836,46.593586,311.214844,383.979126,47.76725,1
69,'2018/07/12 22:06:15:392',2,363.5495,414.466125,56.617863,414.966827,366.888245,73.337753,360.378601,403.221558,47.414623,335.71106,396.042786,46.68531,311.070679,386.69751,47.815987,1
70,'2018/07/12 22:06:15:447',2,362.041443,415.335663,56.594124,414.526367,368.097534,73.307304,360.163147,403.836548,47.384708,335.534119,396.752228,46.670002,310.848969,387.401154,47.792557,1
71,'2018/07/12 22:06:15:504',2,360.429199,415.616577,56.596661,413.921204,368.397339,73.279373,359.613708,404.018646,47.343269,335.048035,397.046326,46.650539,310.342987,387.646057,47.760429,1
